"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2023","85.00","85.50","86.00","84.50","120.31K","0.00%"
"11/23/2023","85.00","85.20","85.50","84.00","212.76K","1.80%"
"11/22/2023","83.50","82.70","85.00","82.70","415.56K","-0.60%"
"11/21/2023","84.00","83.40","84.50","83.00","252.34K","1.33%"
"11/20/2023","82.90","85.00","85.00","82.90","142.71K","-2.47%"
"11/17/2023","85.00","85.50","85.50","83.80","253.39K","0.59%"
"11/16/2023","84.50","84.50","85.90","82.50","97.82K","-0.59%"
"11/15/2023","85.00","86.50","86.50","83.00","48.85K","-1.16%"
"11/14/2023","86.00","87.40","87.70","85.00","67.95K","-1.04%"
"11/13/2023","86.90","86.20","87.50","85.50","85.24K","1.28%"
"11/10/2023","85.80","86.70","87.00","85.50","835.45K","-0.81%"
"11/09/2023","86.50","88.00","88.00","86.00","709.20K","-0.57%"
"11/08/2023","87.00","85.00","88.90","85.00","440.09K","2.35%"
"11/07/2023","85.00","84.90","86.00","84.00","202.30K","0.00%"
"11/06/2023","85.00","84.40","85.90","83.90","40.55K","1.19%"
"11/03/2023","84.00","84.90","85.40","84.00","70.64K","-0.36%"
"11/02/2023","84.30","83.50","86.00","83.50","304.89K","0.36%"
"11/01/2023","84.00","83.30","84.20","82.50","70.04K","2.31%"
"10/31/2023","82.10","82.50","83.20","81.60","44.77K","-1.08%"
"10/30/2023","83.00","83.50","83.50","82.00","27.14K","0.00%"
"10/27/2023","83.00","81.50","83.90","81.00","140.89K","1.22%"
"10/26/2023","82.00","82.50","84.00","81.00","44.13K","-0.85%"
"10/25/2023","82.70","84.90","84.90","82.60","7.10K","-2.71%"
"10/24/2023","85.00","87.30","87.50","84.50","53.45K","-2.19%"
"10/23/2023","86.90","86.80","88.80","86.50","266.26K","-0.11%"
"10/20/2023","87.00","81.70","87.30","81.70","162.19K","6.10%"
"10/19/2023","82.00","80.10","82.50","80.00","271.91K","1.86%"
"10/18/2023","80.50","80.00","80.80","80.00","186.43K","-0.25%"
"10/17/2023","80.70","80.30","82.90","80.30","249.13K","0.50%"
"10/16/2023","80.30","84.00","84.00","80.30","291.61K","-4.40%"
"10/13/2023","84.00","84.50","85.00","84.00","47.24K","0.00%"
"10/12/2023","84.00","83.50","85.00","82.60","63.82K","0.60%"
"10/11/2023","83.50","84.90","85.90","83.00","270.14K","-1.65%"
"10/10/2023","84.90","85.00","86.90","84.00","252.89K","-0.12%"
"10/09/2023","85.00","86.30","87.00","83.50","341.68K","-1.51%"
"10/06/2023","86.30","88.00","88.00","86.10","24.33K","-1.37%"
"10/05/2023","87.50","87.80","88.80","86.50","69.60K","-0.34%"
